go_id,pathway_name,pathway_name
GO:0014891,striated muscle atrophy,muscle
GO:0007519,skeletal muscle tissue development,muscle
GO:0042693,muscle cell fate commitment,muscle
GO:0045663,positive regulation of myoblast differentiation,muscle
GO:0048743,positive regulation of skeletal muscle fiber development,muscle
GO:1901741,positive regulation of myoblast fusion,muscle
GO:0010831,positive regulation of myotube differentiation,muscle
GO:0014732,skeletal muscle atrophy,muscle
GO:0014842,regulation of skeletal muscle satellite cell proliferation,muscle
GO:0014850,response to muscle activity,cellular-response
GO:0014873,response to muscle activity involved in regulation of muscle adaptation,muscle
GO:0014878,response to electrical stimulus involved in regulation of muscle adaptation,muscle
GO:0014894,response to denervation involved in regulation of muscle adaptation,muscle
GO:0014902,myotube differentiation,muscle
GO:0043403,skeletal muscle tissue regeneration,regeneration-healing
GO:0045445,myoblast differentiation,muscle
GO:0048741,skeletal muscle fiber development,muscle
GO:0071259,cellular response to magnetism,cellular-response
GO:0071285,cellular response to lithium ion,cellular-response
GO:1901739,regulation of myoblast fusion,muscle
GO:1903862,positive regulation of oxidative phosphorylation,phosphorylation
GO:0035162,embryonic hemopoiesis,hematopoiesis
GO:0001973,adenosine receptor signaling pathway,signalling
GO:0099509,regulation of presynaptic cytosolic calcium ion concentration,synapse
GO:0000186,activation of MAPKK activity,MAPK
GO:0002674,negative regulation of acute inflammatory response,myeloid
GO:0002686,negative regulation of leukocyte migration,lymphoid
GO:0002793,positive regulation of peptide secretion,secretion
GO:0003084,positive regulation of systemic arterial blood pressure,blood-vessel
GO:0003085,negative regulation of systemic arterial blood pressure,blood-vessel
GO:0003093,regulation of glomerular filtration,kidney-ureter
GO:0006612,protein targeting to membrane,protein-processing
GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,kidney-ureter
GO:0014050,negative regulation of glutamate secretion,neurotransmitters
GO:0032229,"negative regulation of synaptic transmission, GABAergic",synapse
GO:0032244,positive regulation of nucleoside transport,transport
GO:0032900,negative regulation of neurotrophin production,brain
GO:0035307,positive regulation of protein dephosphorylation,phosphorylation
GO:0035814,negative regulation of renal sodium excretion,kidney-ureter
GO:0042321,"negative regulation of circadian sleep/wake cycle, sleep",circadian-rhythm
GO:0042323,"negative regulation of circadian sleep/wake cycle, non-REM sleep",circadian-rhythm
GO:0043268,positive regulation of potassium ion transport,transport
GO:0045741,positive regulation of epidermal growth factor-activated receptor activity,signalling
GO:0045822,negative regulation of heart contraction,heart
GO:0050965,detection of temperature stimulus involved in sensory perception of pain,brain
GO:0050996,positive regulation of lipid catabolic process,catabolic
GO:0051930,regulation of sensory perception of pain,brain
GO:0051967,"negative regulation of synaptic transmission, glutamatergic",neurotransmitters
GO:0055089,fatty acid homeostasis,homeostasis
GO:0055117,regulation of cardiac muscle contraction,muscle
GO:0060087,relaxation of vascular smooth muscle,muscle
GO:0070256,negative regulation of mucus secretion,secretion
GO:0070328,triglyceride homeostasis,homeostasis
GO:0086004,regulation of cardiac muscle cell contraction,muscle
GO:0097756,negative regulation of blood vessel diameter,blood-vessel
GO:0010744,positive regulation of macrophage derived foam cell differentiation,monocyte
GO:0030225,macrophage differentiation,monocyte
GO:0097011,cellular response to granulocyte macrophage colony-stimulating factor stimulus,monocyte
GO:0001821,histamine secretion,neurotransmitters
GO:0001892,embryonic placenta development,blastocyst
GO:0030099,myeloid cell differentiation,hematopoiesis
GO:0030223,neutrophil differentiation,myeloid
GO:0030224,monocyte differentiation,monocyte
GO:0034021,response to silicon dioxide,cellular-response
GO:0034405,response to fluid shear stress,stress-response
GO:0042045,epithelial fluid transport,transport
GO:0042116,macrophage activation,monocyte
GO:0045187,"regulation of circadian sleep/wake cycle, sleep",circadian-rhythm
GO:0045637,regulation of myeloid cell differentiation,hematopoiesis
GO:0097028,dendritic cell differentiation,dendritic-cell
GO:0002756,MyD88-independent toll-like receptor signaling pathway,immune
GO:0035666,TRIF-dependent toll-like receptor signaling pathway,immune
GO:0016239,positive regulation of macroautophagy,cell-death
GO:0065003,protein-containing complex assembly,protein-processing
GO:0051403,stress-activated MAPK cascade,MAPK
GO:0043276,anoikis,cell-death
GO:0051650,establishment of vesicle localization,transport
GO:0006006,glucose metabolic process,metabolic-biosynthesis
GO:0006098,pentose-phosphate shunt,metabolic-biosynthesis
GO:0009051,"pentose-phosphate shunt, oxidative branch",metabolic-biosynthesis
GO:0010041,response to iron(III) ion,cellular-response
GO:0043523,regulation of neuron apoptotic process,neuron
GO:0061052,negative regulation of cell growth involved in cardiac muscle cell development,muscle
GO:1904879,positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,transport
GO:2000378,negative regulation of reactive oxygen species metabolic process,metabolic-biosynthesis
GO:0021762,substantia nigra development,brain
GO:0006695,cholesterol biosynthetic process,lipid
GO:0006739,NADP metabolic process,metabolic-biosynthesis
GO:0006740,NADPH regeneration,regeneration-healing
GO:0010734,negative regulation of protein glutathionylation,protein-processing
GO:0019322,pentose biosynthetic process,metabolic-biosynthesis
GO:0043249,erythrocyte maturation,red-blood
GO:0046390,ribose phosphate biosynthetic process,metabolic-biosynthesis
GO:0009072,aromatic amino acid family metabolic process,metabolic-biosynthesis
GO:0006559,L-phenylalanine catabolic process,catabolic
GO:0006572,tyrosine catabolic process,catabolic
GO:0006527,arginine catabolic process,catabolic
GO:1902000,homogentisate catabolic process,catabolic
GO:0006942,regulation of striated muscle contraction,muscle
GO:0061061,muscle structure development,muscle
GO:0031532,actin cytoskeleton reorganization,cytoskeleton
GO:0098976,excitatory chemical synaptic transmission,synapse
GO:0018401,peptidyl-proline hydroxylation to 4-hydroxy-L-proline,peptide
GO:0019511,peptidyl-proline hydroxylation,peptide
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,signalling
GO:0071870,cellular response to catecholamine stimulus,cellular-response
GO:0060134,prepulse inhibition,environment-sensing
GO:0071880,adenylate cyclase-activating adrenergic receptor signaling pathway,neurotransmitters
GO:1903351,cellular response to dopamine,neurotransmitters
GO:0007628,adult walking behavior,behavior
GO:0021853,cerebral cortex GABAergic interneuron migration,neuron
GO:0042417,dopamine metabolic process,neurotransmitters
GO:0051584,regulation of dopamine uptake involved in synaptic transmission,neurotransmitters
GO:0060158,phospholipase C-activating dopamine receptor signaling pathway,neurotransmitters
GO:0001963,"synaptic transmission, dopaminergic",neurotransmitters
GO:0001975,response to amphetamine,cellular-response
GO:0007191,adenylate cyclase-activating dopamine receptor signaling pathway,neurotransmitters
GO:0007212,dopamine receptor signaling pathway,neurotransmitters
GO:0007617,mating behavior,behavior
GO:0007625,grooming behavior,behavior
GO:0008306,associative learning,behavior
GO:0015872,dopamine transport,neurotransmitters
GO:0019226,transmission of nerve impulse,nerve
GO:0019228,neuronal action potential,neuron
GO:0021542,dentate gyrus development,brain
GO:0021756,striatum development,muscle
GO:0030432,peristalsis,muscle
GO:0035106,operant conditioning,brain
GO:0042053,regulation of dopamine metabolic process,neurotransmitters
GO:0042711,maternal behavior,behavior
GO:0043987,histone H3-S10 phosphorylation,histone-chromatin
GO:0046323,glucose import,transport
GO:0046959,habituation,brain
GO:0046960,sensitization,brain
GO:0048148,behavioral response to cocaine,cellular-response
GO:0051968,"positive regulation of synaptic transmission, glutamatergic",neurotransmitters
GO:0060292,long-term synaptic depression,synapse
GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,kinase
GO:2000272,negative regulation of signaling receptor activity,signalling
GO:0009609,response to symbiotic bacterium,immune
GO:0015697,quaternary ammonium group transport,transport
GO:0015879,carnitine transport,transport
GO:0060731,positive regulation of intestinal epithelial structure maintenance,gut
GO:0070715,sodium-dependent organic cation transport,transport
GO:1902603,carnitine transmembrane transport,transport
GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,liver
GO:0015695,organic cation transport,transport
GO:0009437,carnitine metabolic process,metabolic-biosynthesis
GO:0021510,spinal cord development,spine
GO:0072606,interleukin-8 secretion,immune
GO:0034612,response to tumor necrosis factor,cell-death
GO:0006032,chitin catabolic process,catabolic
GO:0070741,response to interleukin-6,immune
GO:0032485,regulation of Ral protein signal transduction,protein-processing
GO:0006633,fatty acid biosynthetic process,lipid
GO:0001561,fatty acid alpha-oxidation,lipid
GO:0033306,phytol metabolic process,metabolic-biosynthesis
GO:0032402,melanosome transport,melanocyte
GO:0030318,melanocyte differentiation,melanocyte
GO:0090382,phagosome maturation,cytosis-osome-vesicle
GO:0043473,pigmentation,melanocyte
GO:0048066,developmental pigmentation,melanocyte
GO:0072385,minus-end-directed organelle transport along microtubule,transport
GO:0009968,negative regulation of signal transduction,signalling
GO:0030219,megakaryocyte differentiation,red-blood
GO:0006730,one-carbon metabolic process,metabolic-biosynthesis
GO:1990542,mitochondrial transmembrane transport,transport
GO:0015825,L-serine transport,transport
GO:0140300,serine import into mitochondrion,mitochondrion
GO:0042942,D-serine transport,transport
GO:0010613,positive regulation of cardiac muscle hypertrophy,muscle
GO:0000002,mitochondrial genome maintenance,mitochondrion
GO:0048311,mitochondrion distribution,mitochondrion
GO:0055005,ventricular cardiac myofibril assembly,heart
GO:0061337,cardiac conduction,muscle
GO:0046326,positive regulation of glucose import,transport
GO:1903076,regulation of protein localization to plasma membrane,protein-processing
GO:0008277,regulation of G protein-coupled receptor signaling pathway,signalling
GO:0018230,peptidyl-L-cysteine S-palmitoylation,peptide
GO:0044381,glucose import in response to insulin stimulus,pancreas
GO:0018345,protein palmitoylation,protein-processing
GO:1902044,regulation of Fas signaling pathway,cell-death
GO:0030859,polarized epithelial cell differentiation,polarity-axis
GO:0009895,negative regulation of catabolic process,catabolic
GO:0150106,regulation of protein localization to cell-cell junction,ecm
GO:0010571,positive regulation of nuclear cell cycle DNA replication,cell-cycle
GO:0006855,drug transmembrane transport,transport
GO:0140331,aminophospholipid translocation,lipid
GO:0070863,positive regulation of protein exit from endoplasmic reticulum,protein-processing
GO:0036010,protein localization to endosome,cytosis-osome-vesicle
GO:0015917,aminophospholipid transport,transport
GO:0006030,chitin metabolic process,metabolic-biosynthesis
GO:0044245,polysaccharide digestion,gut
GO:0000272,polysaccharide catabolic process,catabolic
GO:0001696,gastric acid secretion,gut
GO:0098664,G protein-coupled serotonin receptor signaling pathway,neurotransmitters
GO:0001697,histamine-induced gastric acid secretion,neurotransmitters
GO:0001698,gastrin-induced gastric acid secretion,gut
GO:0003382,epithelial cell morphogenesis,morphogenesis
GO:0048732,gland development,glands
GO:0006805,xenobiotic metabolic process,metabolic-biosynthesis
GO:0046580,negative regulation of Ras protein signal transduction,MAPK
GO:0051142,positive regulation of NK T cell proliferation,lymphoid
GO:0045930,negative regulation of mitotic cell cycle,cell-division
GO:0009952,anterior/posterior pattern specification,polarity-axis
GO:0060213,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,rna-processing
GO:2000178,negative regulation of neural precursor cell proliferation,neural-crest
GO:0061743,motor learning,behavior
GO:0070129,regulation of mitochondrial translation,translation
GO:1904959,regulation of cytochrome-c oxidase activity,mitochondrion
GO:0043303,mast cell degranulation,lymphoid
GO:0016079,synaptic vesicle exocytosis,cytosis-osome-vesicle
GO:0046928,regulation of neurotransmitter secretion,neurotransmitters
GO:0031915,positive regulation of synaptic plasticity,synapse
GO:0031630,regulation of synaptic vesicle fusion to presynaptic active zone membrane,synapse
GO:0009253,peptidoglycan catabolic process,catabolic
GO:0019730,antimicrobial humoral response,immune
GO:0016045,detection of bacterium,immune
GO:0001519,peptide amidation,peptide
GO:0032827,negative regulation of natural killer cell differentiation involved in immune response,lymphoid
GO:0044117,growth of symbiont in host,immune
GO:0007181,transforming growth factor beta receptor complex assembly,immune
GO:0000052,citrulline metabolic process,metabolic-biosynthesis
GO:0050999,regulation of nitric-oxide synthase activity,metabolic-biosynthesis
GO:0006525,arginine metabolic process,metabolic-biosynthesis
GO:0007263,nitric oxide mediated signal transduction,signalling
GO:0006809,nitric oxide biosynthetic process,metabolic-biosynthesis
GO:0046784,viral mRNA export from host cell nucleus,immune
GO:0006821,chloride transport,transport
GO:1902476,chloride transmembrane transport,transport
GO:0006690,icosanoid metabolic process,metabolic-biosynthesis
GO:0002084,protein depalmitoylation,protein-processing
GO:1902817,negative regulation of protein localization to microtubule,cytoskeleton
GO:1905668,positive regulation of protein localization to endosome,cytosis-osome-vesicle
GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,signalling
GO:0018393,internal peptidyl-lysine acetylation,peptide
GO:0045861,negative regulation of proteolysis,protein-processing
GO:0045995,regulation of embryonic development,blastocyst
GO:0061857,endoplasmic reticulum stress-induced pre-emptive quality control,protein-processing
GO:1904294,positive regulation of ERAD pathway,stress-response
GO:1904378,maintenance of unfolded protein involved in ERAD pathway,protein-processing
GO:1904379,protein localization to cytosolic proteasome complex involved in ERAD pathway,protein-processing
GO:0090314,positive regulation of protein targeting to membrane,protein-processing
GO:0030213,hyaluronan biosynthetic process,metabolic-biosynthesis
GO:0030214,hyaluronan catabolic process,catabolic
GO:1900020,positive regulation of protein kinase C activity,kinase
GO:0034394,protein localization to cell surface,cytoskeleton
GO:0007498,mesoderm development,mesoderm
GO:1904395,positive regulation of skeletal muscle acetylcholine-gated channel clustering,neurotransmitters
GO:0032731,positive regulation of interleukin-1 beta production,immune
GO:0071260,cellular response to mechanical stimulus,cellular-response
GO:0042113,B cell activation,lymphoid
GO:0060546,negative regulation of necroptotic process,cell-death
GO:0036462,TRAIL-activated apoptotic signaling pathway,cell-death
GO:1902041,regulation of extrinsic apoptotic signaling pathway via death domain receptors,cell-death
GO:0097194,execution phase of apoptosis,cell-death
GO:1900740,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,mitochondrion
GO:0034138,toll-like receptor 3 signaling pathway,immune
GO:0045651,positive regulation of macrophage differentiation,monocyte
GO:0097264,self proteolysis,cell-death
GO:0051603,proteolysis involved in cellular protein catabolic process,catabolic
GO:0045862,positive regulation of proteolysis,protein-processing
GO:0097202,activation of cysteine-type endopeptidase activity,metabolic-biosynthesis
GO:0060544,regulation of necroptotic process,cell-death
GO:0039650,suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process,immune
GO:0060715,syncytiotrophoblast cell differentiation involved in labyrinthine layer development,blastocyst
GO:0097296,activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cell-death
GO:0032025,response to cobalt ion,cellular-response
GO:0046677,response to antibiotic,cellular-response
GO:0034384,high-density lipoprotein particle clearance,lipid
GO:0033344,cholesterol efflux,lipid
GO:0034375,high-density lipoprotein particle remodeling,lipid
GO:0034380,high-density lipoprotein particle assembly,lipid
GO:0034445,negative regulation of plasma lipoprotein oxidation,lipid
GO:0043691,reverse cholesterol transport,transport
GO:0006024,glycosaminoglycan biosynthetic process,metabolic-biosynthesis
GO:0015015,"heparan sulfate proteoglycan biosynthetic process, enzymatic modification",metabolic-biosynthesis
GO:1903292,protein localization to Golgi membrane,transport
GO:0007569,cell aging,aging
GO:0000723,telomere maintenance,telomere
GO:0002218,activation of innate immune response,immune
GO:0006302,double-strand break repair,DNA-repair
GO:0075713,establishment of integrated proviral latency,immune
GO:0070198,"protein localization to chromosome, telomeric region",protein-processing
GO:0048660,regulation of smooth muscle cell proliferation,muscle
GO:0071480,cellular response to gamma radiation,cellular-response
GO:0071481,cellular response to X-ray,cellular-response
GO:0050769,positive regulation of neurogenesis,brain
GO:0071475,cellular hyperosmotic salinity response,environment-sensing
GO:1904430,negative regulation of t-circle formation,environment-sensing
GO:0007528,neuromuscular junction development,muscle
GO:1901385,regulation of voltage-gated calcium channel activity,calcium
GO:1902514,regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,transport
GO:0051001,negative regulation of nitric-oxide synthase activity,metabolic-biosynthesis
GO:0070885,negative regulation of calcineurin-NFAT signaling cascade,metabolic-biosynthesis
GO:1900082,negative regulation of arginine catabolic process,catabolic
GO:0140199,negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process,neurotransmitters
GO:1903243,negative regulation of cardiac muscle hypertrophy in response to stress,muscle
GO:0003407,neural retina development,neural-crest
GO:0014832,urinary bladder smooth muscle contraction,muscle
GO:0030317,flagellated sperm motility,reproduction
GO:1901660,calcium ion export,calcium
GO:1905145,cellular response to acetylcholine,neurotransmitters
GO:0051480,regulation of cytosolic calcium ion concentration,calcium
GO:0010751,negative regulation of nitric oxide mediated signal transduction,signalling
GO:1902083,negative regulation of peptidyl-cysteine S-nitrosylation,peptide
GO:0071872,cellular response to epinephrine stimulus,neurotransmitters
GO:0097553,calcium ion transmembrane import into cytosol,calcium
GO:0098703,calcium ion import across plasma membrane,calcium
GO:0098736,negative regulation of the force of heart contraction,heart
GO:1902305,regulation of sodium ion transmembrane transport,transport
GO:1902548,negative regulation of cellular response to vascular endothelial growth factor stimulus,blood-vessel
GO:1902806,regulation of cell cycle G1/S phase transition,cell-cycle
GO:1903249,negative regulation of citrulline biosynthetic process,metabolic-biosynthesis
GO:2000481,positive regulation of cAMP-dependent protein kinase activity,kinase
GO:0060538,skeletal muscle organ development,muscle
GO:0014905,myoblast fusion involved in skeletal muscle regeneration,regeneration-healing
GO:0045026,plasma membrane fusion,transport
GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,cell-division
GO:0000733,DNA strand renaturation,DNA-repair
GO:0090656,t-circle formation,replication
GO:0006259,DNA metabolic process,metabolic-biosynthesis
GO:0036292,DNA rewinding,replication
GO:0048478,replication fork protection,replication
GO:0007029,endoplasmic reticulum organization,protein-processing
GO:0055074,calcium ion homeostasis,homeostasis
GO:0006611,protein export from nucleus,protein-processing
GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,immune
GO:0098696,regulation of neurotransmitter receptor localization to postsynaptic specialization membrane,neurotransmitters
GO:1905475,regulation of protein localization to membrane,protein-processing
GO:0016071,mRNA metabolic process,rna-processing
GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis,blood-vessel
GO:2000773,negative regulation of cellular senescence,aging
GO:0071864,positive regulation of cell proliferation in bone marrow,myeloid
GO:0006693,prostaglandin metabolic process,lipid
GO:0019369,arachidonic acid metabolic process,metabolic-biosynthesis
GO:0006691,leukotriene metabolic process,metabolic-biosynthesis
GO:0036101,leukotriene B4 catabolic process,catabolic
GO:0015833,peptide transport,transport
GO:1990668,vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane,protein-processing
GO:0046967,cytosol to endoplasmic reticulum transport,protein-processing
GO:0002489,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",immune
GO:0046968,peptide antigen transport,transport
GO:0001676,long-chain fatty acid metabolic process,metabolic-biosynthesis
GO:0003091,renal water homeostasis,kidney-ureter
GO:0000038,very long-chain fatty acid metabolic process,metabolic-biosynthesis
GO:0019373,epoxygenase P450 pathway,metabolic-biosynthesis
GO:0017144,drug metabolic process,metabolic-biosynthesis
GO:0055078,sodium ion homeostasis,homeostasis
GO:0003095,pressure natriuresis,gut
GO:0042360,vitamin E metabolic process,metabolic-biosynthesis
GO:0010499,proteasomal ubiquitin-independent protein catabolic process,catabolic
GO:2000116,regulation of cysteine-type endopeptidase activity,protein-processing
GO:0052548,regulation of endopeptidase activity,protein-processing
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,olfactory
GO:0042361,menaquinone catabolic process,catabolic
GO:0042376,phylloquinone catabolic process,catabolic
GO:0042377,vitamin K catabolic process,catabolic
GO:0031408,oxylipin biosynthetic process,metabolic-biosynthesis
GO:0097267,omega-hydroxylase P450 pathway,metabolic-biosynthesis
GO:0032304,negative regulation of icosanoid secretion,secretion
GO:0032305,positive regulation of icosanoid secretion,secretion
GO:0042273,ribosomal large subunit biogenesis,regeneration-healing
GO:2001190,positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,lymphoid
GO:0002399,MHC class II protein complex assembly,immune
GO:0030970,"retrograde protein transport, ER to cytosol",transport
GO:0034389,lipid droplet organization,lipid
GO:0032532,regulation of microvillus length,gut
GO:0060243,negative regulation of cell growth involved in contact inhibition,growth-regulation
GO:0090675,intermicrovillar adhesion,ecm
GO:0010038,response to metal ion,cellular-response
GO:0048488,synaptic vesicle endocytosis,cytosis-osome-vesicle
GO:0002587,negative regulation of antigen processing and presentation of peptide antigen via MHC class II,immune
GO:0050870,positive regulation of T cell activation,lymphoid
GO:0032729,positive regulation of interferon-gamma production,immune
GO:0051604,protein maturation,protein-processing
GO:0072594,establishment of protein localization to organelle,protein-processing
GO:0038007,netrin-activated signaling pathway,signalling
GO:0033564,anterior/posterior axon guidance,neuron
GO:0006096,glycolytic process,metabolic-biosynthesis
GO:0046835,carbohydrate phosphorylation,phosphorylation
GO:0019318,hexose metabolic process,metabolic-biosynthesis
GO:0061621,canonical glycolysis,metabolic-biosynthesis
GO:0006002,fructose 6-phosphate metabolic process,metabolic-biosynthesis
GO:0060023,soft palate development,olfactory
GO:0060021,roof of mouth development,olfactory
GO:0030049,muscle filament sliding,muscle
GO:0045739,positive regulation of DNA repair,DNA-repair
GO:0070537,histone H2A K63-linked deubiquitination,histone-chromatin
GO:0071577,zinc ion transmembrane transport,transport
GO:0006829,zinc ion transport,transport
GO:0006882,cellular zinc ion homeostasis,homeostasis
GO:0048384,retinoic acid receptor signaling pathway,signalling
GO:0010842,retina layer formation,eye
GO:0001947,heart looping,heart
GO:0050795,regulation of behavior,behavior
GO:0035845,photoreceptor cell outer segment organization,eye
GO:0071599,otic vesicle development,blood-vessel
GO:0065001,specification of axis polarity,polarity-axis
GO:0001738,morphogenesis of a polarized epithelium,polarity-axis
GO:0030862,positive regulation of polarized epithelial cell differentiation,polarity-axis
GO:0035844,cloaca development,kidney-ureter
GO:0039008,pronephric nephron tubule morphogenesis,kidney-ureter
GO:0039023,pronephric duct morphogenesis,kidney-ureter
GO:0070121,Kupffer's vesicle development,liver
GO:0070986,left/right axis specification,polarity-axis
GO:0051290,protein heterotetramerization,protein-processing
GO:0035518,histone H2A monoubiquitination,histone-chromatin
GO:0032880,regulation of protein localization,protein-processing
GO:0048169,regulation of long-term neuronal synaptic plasticity,neuron
GO:0051223,regulation of protein transport,protein-processing
GO:0098887,"neurotransmitter receptor transport, endosome to postsynaptic membrane",cytosis-osome-vesicle
GO:0098969,neurotransmitter receptor transport to postsynaptic membrane,neurotransmitters
GO:0099003,vesicle-mediated transport in synapse,synapse
GO:0048210,Golgi vesicle fusion to target membrane,transport
GO:0006896,Golgi to vacuole transport,transport
GO:0042147,"retrograde transport, endosome to Golgi",cytosis-osome-vesicle
GO:0032456,endocytic recycling,transport
GO:0007041,lysosomal transport,transport
GO:0008543,fibroblast growth factor receptor signaling pathway,signalling
GO:2000573,positive regulation of DNA biosynthetic process,metabolic-biosynthesis
GO:0055062,phosphate ion homeostasis,homeostasis
GO:0070857,regulation of bile acid biosynthetic process,metabolic-biosynthesis
GO:0006198,cAMP catabolic process,catabolic
GO:0010452,histone H3-K36 methylation,histone-chromatin
GO:0034968,histone lysine methylation,histone-chromatin
GO:0000414,regulation of histone H3-K36 methylation,histone-chromatin
GO:0033135,regulation of peptidyl-serine phosphorylation,peptide
GO:0034770,histone H4-K20 methylation,histone-chromatin
GO:1903025,regulation of RNA polymerase II regulatory region sequence-specific DNA binding,transcription
GO:0032438,melanosome organization,melanocyte
GO:0035646,endosome to melanosome transport,cytosis-osome-vesicle
GO:0001574,ganglioside biosynthetic process,brain
GO:0000266,mitochondrial fission,mitochondrion
GO:0097035,regulation of membrane lipid distribution,lipid
GO:0070234,positive regulation of T cell apoptotic process,lymphoid
GO:0090201,negative regulation of release of cytochrome c from mitochondria,mitochondrion
GO:2001140,positive regulation of phospholipid transport,transport
GO:0051881,regulation of mitochondrial membrane potential,mitochondrion
GO:0045580,regulation of T cell differentiation,lymphoid
GO:0010950,positive regulation of endopeptidase activity,metabolic-biosynthesis
GO:1901857,positive regulation of cellular respiration,metabolic-biosynthesis
GO:0051131,chaperone-mediated protein complex assembly,protein-processing
GO:0007265,Ras protein signal transduction,MAPK
GO:1903671,negative regulation of sprouting angiogenesis,blood-vessel
GO:0097533,cellular stress response to acid chemical,stress-response
GO:0036003,positive regulation of transcription from RNA polymerase II promoter in response to stress,transcription
GO:0071498,cellular response to fluid shear stress,cellular-response
GO:0034101,erythrocyte homeostasis,red-blood
GO:0048386,positive regulation of retinoic acid receptor signaling pathway,signalling
GO:0071409,cellular response to cycloheximide,cellular-response
GO:1901653,cellular response to peptide,cellular-response
GO:2001022,positive regulation of response to DNA damage stimulus,DNA-repair
GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,cell-death
GO:2000144,"positive regulation of DNA-templated transcription, initiation",transcription
GO:0001510,RNA methylation,methylation
GO:0031167,rRNA methylation,ribosome
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",ribosome
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",ribosome
GO:0000453,enzyme-directed rRNA 2'-O-methylation,ribosome
GO:0090261,positive regulation of inclusion body assembly,ecm
GO:0043069,negative regulation of programmed cell death,cell-death
GO:0002398,MHC class Ib protein complex assembly,immune
GO:0050823,peptide antigen stabilization,immune
GO:0061635,regulation of protein complex stability,protein-processing
GO:0007051,spindle organization,cell-division
GO:0010070,zygote asymmetric cell division,cell-cycle
GO:0031914,negative regulation of synaptic plasticity,synapse
GO:0045744,negative regulation of G protein-coupled receptor signaling pathway,signalling
GO:0044341,sodium-dependent phosphate transport,transport
GO:0006817,phosphate ion transport,transport
GO:0030643,cellular phosphate ion homeostasis,homeostasis
GO:0009100,glycoprotein metabolic process,metabolic-biosynthesis
GO:0032026,response to magnesium ion,cellular-response
GO:0035435,phosphate ion transmembrane transport,transport
GO:0035864,response to potassium ion,cellular-response
GO:0042431,indole metabolic process,metabolic-biosynthesis
GO:0045838,positive regulation of membrane potential,growth-regulation
GO:0060416,response to growth hormone,cellular-response
GO:0071107,response to parathyroid hormone,glands
GO:0071374,cellular response to parathyroid hormone stimulus,glands
GO:0072350,tricarboxylic acid metabolic process,metabolic-biosynthesis
GO:0072734,cellular response to staurosporine,cellular-response
GO:0097066,response to thyroid hormone,glands
GO:0097187,dentinogenesis,osteo-bone
GO:1901128,gentamycin metabolic process,metabolic-biosynthesis
GO:1901652,response to peptide,cellular-response
GO:1901684,arsenate ion transmembrane transport,transport
GO:2000120,positive regulation of sodium-dependent phosphate transport,transport
GO:2000187,positive regulation of phosphate transmembrane transport,transport
GO:0032233,positive regulation of actin filament bundle assembly,cytoskeleton
GO:0090307,mitotic spindle assembly,cell-division
GO:0007080,mitotic metaphase plate congression,cell-division
GO:0000070,mitotic sister chromatid segregation,cell-division
GO:0031397,negative regulation of protein ubiquitination,protein-processing
GO:0046632,alpha-beta T cell differentiation,lymphoid
GO:2001269,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cell-death
GO:0016485,protein processing,protein-processing
GO:0007597,"blood coagulation, intrinsic pathway",blood-vessel
GO:0042730,fibrinolysis,ecm
GO:0051919,positive regulation of fibrinolysis,ecm
GO:0002353,plasma kallikrein-kinin cascade,protein-processing
GO:0002542,Factor XII activation,protein-processing
GO:0010756,positive regulation of plasminogen activation,protein-processing
GO:0016540,protein autoprocessing,protein-processing
GO:0031638,zymogen activation,protein-processing
GO:0051788,response to misfolded protein,protein-processing
GO:0006970,response to osmotic stress,cellular-response
GO:0042059,negative regulation of epidermal growth factor receptor signaling pathway,growth-regulation
GO:0072643,interferon-gamma secretion,immune
GO:0090281,negative regulation of calcium ion import,calcium
GO:0002820,negative regulation of adaptive immune response,immune
GO:0045927,positive regulation of growth,growth-regulation
